,image_address,image_name,name,type1,type2
0,archives.bulbagarden.net/media/upload/thumb/f/fb/0001Bulbasaur.png/140px-0001Bulbasaur.png,Bulbasaur.png,Bulbasaur,Grass,Poison
1,archives.bulbagarden.net/media/upload/thumb/8/81/0002Ivysaur.png/140px-0002Ivysaur.png,Ivysaur.png,Ivysaur,Grass,Poison
2,archives.bulbagarden.net/media/upload/thumb/6/6b/0003Venusaur.png/140px-0003Venusaur.png,Venusaur.png,Venusaur,Grass,Poison
3,archives.bulbagarden.net/media/upload/thumb/2/27/0004Charmander.png/140px-0004Charmander.png,Charmander.png,Charmander,Fire,
4,archives.bulbagarden.net/media/upload/thumb/0/05/0005Charmeleon.png/140px-0005Charmeleon.png,Charmeleon.png,Charmeleon,Fire,
5,archives.bulbagarden.net/media/upload/thumb/3/38/0006Charizard.png/140px-0006Charizard.png,Charizard.png,Charizard,Fire,Flying
6,archives.bulbagarden.net/media/upload/thumb/5/54/0007Squirtle.png/140px-0007Squirtle.png,Squirtle.png,Squirtle,Water,
7,archives.bulbagarden.net/media/upload/thumb/0/0f/0008Wartortle.png/140px-0008Wartortle.png,Wartortle.png,Wartortle,Water,
8,archives.bulbagarden.net/media/upload/thumb/0/0a/0009Blastoise.png/140px-0009Blastoise.png,Blastoise.png,Blastoise,Water,
9,archives.bulbagarden.net/media/upload/thumb/5/5e/0010Caterpie.png/140px-0010Caterpie.png,Caterpie.png,Caterpie,Bug,
10,archives.bulbagarden.net/media/upload/thumb/d/da/0011Metapod.png/140px-0011Metapod.png,Metapod.png,Metapod,Bug,
11,archives.bulbagarden.net/media/upload/thumb/5/55/0012Butterfree.png/140px-0012Butterfree.png,Butterfree.png,Butterfree,Bug,Flying
12,archives.bulbagarden.net/media/upload/thumb/3/36/0013Weedle.png/140px-0013Weedle.png,Weedle.png,Weedle,Bug,Poison
13,archives.bulbagarden.net/media/upload/thumb/f/f3/0014Kakuna.png/140px-0014Kakuna.png,Kakuna.png,Kakuna,Bug,Poison
14,archives.bulbagarden.net/media/upload/thumb/f/f7/0015Beedrill.png/140px-0015Beedrill.png,Beedrill.png,Beedrill,Bug,Poison
15,archives.bulbagarden.net/media/upload/thumb/0/0c/0016Pidgey.png/140px-0016Pidgey.png,Pidgey.png,Pidgey,Normal,Flying
16,archives.bulbagarden.net/media/upload/thumb/8/82/0017Pidgeotto.png/140px-0017Pidgeotto.png,Pidgeotto.png,Pidgeotto,Normal,Flying
17,archives.bulbagarden.net/media/upload/thumb/7/73/0018Pidgeot.png/140px-0018Pidgeot.png,Pidgeot.png,Pidgeot,Normal,Flying
18,archives.bulbagarden.net/media/upload/thumb/a/aa/0019Rattata.png/140px-0019Rattata.png,Rattata.png,Rattata,Normal,
19,archives.bulbagarden.net/media/upload/thumb/b/be/0019Rattata-Alola.png/140px-0019Rattata-Alola.png,Rattata-Alola.png,Rattata-Alola,Dark,Normal
20,archives.bulbagarden.net/media/upload/thumb/2/2c/0020Raticate.png/140px-0020Raticate.png,Raticate.png,Raticate,Normal,
21,archives.bulbagarden.net/media/upload/thumb/a/ad/0020Raticate-Alola.png/140px-0020Raticate-Alola.png,Raticate-Alola.png,Raticate-Alola,Dark,Normal
22,archives.bulbagarden.net/media/upload/thumb/2/2d/0021Spearow.png/140px-0021Spearow.png,Spearow.png,Spearow,Normal,Flying
23,archives.bulbagarden.net/media/upload/thumb/9/92/0022Fearow.png/140px-0022Fearow.png,Fearow.png,Fearow,Normal,Flying
24,archives.bulbagarden.net/media/upload/thumb/d/d2/0023Ekans.png/140px-0023Ekans.png,Ekans.png,Ekans,Poison,
25,archives.bulbagarden.net/media/upload/thumb/5/51/0024Arbok.png/140px-0024Arbok.png,Arbok.png,Arbok,Poison,
26,archives.bulbagarden.net/media/upload/thumb/4/4a/0025Pikachu.png/140px-0025Pikachu.png,Pikachu.png,Pikachu,Electric,
27,archives.bulbagarden.net/media/upload/thumb/b/b0/0026Raichu.png/140px-0026Raichu.png,Raichu.png,Raichu,Electric,
28,archives.bulbagarden.net/media/upload/thumb/6/65/0026Raichu-Alola.png/140px-0026Raichu-Alola.png,Raichu-Alola.png,Raichu-Alola,Electric,Psychic
29,archives.bulbagarden.net/media/upload/thumb/e/e9/0027Sandshrew.png/140px-0027Sandshrew.png,Sandshrew.png,Sandshrew,Ground,
30,archives.bulbagarden.net/media/upload/thumb/f/f4/0027Sandshrew-Alola.png/140px-0027Sandshrew-Alola.png,Sandshrew-Alola.png,Sandshrew-Alola,Ice,Steel
31,archives.bulbagarden.net/media/upload/thumb/a/a4/0028Sandslash.png/140px-0028Sandslash.png,Sandslash.png,Sandslash,Ground,
32,archives.bulbagarden.net/media/upload/thumb/e/e0/0028Sandslash-Alola.png/140px-0028Sandslash-Alola.png,Sandslash-Alola.png,Sandslash-Alola,Ice,Steel
33,archives.bulbagarden.net/media/upload/thumb/b/b2/0029Nidoran.png/140px-0029Nidoran.png,Nidoran.png,Nidoran,Poison,
34,archives.bulbagarden.net/media/upload/thumb/e/ea/0030Nidorina.png/140px-0030Nidorina.png,Nidorina.png,Nidorina,Poison,
35,archives.bulbagarden.net/media/upload/thumb/9/9d/0031Nidoqueen.png/140px-0031Nidoqueen.png,Nidoqueen.png,Nidoqueen,Poison,Ground
36,archives.bulbagarden.net/media/upload/thumb/8/8c/0032Nidoran.png/140px-0032Nidoran.png,Nidoran.png,Nidoran,Poison,
37,archives.bulbagarden.net/media/upload/thumb/1/1e/0033Nidorino.png/140px-0033Nidorino.png,Nidorino.png,Nidorino,Poison,
38,archives.bulbagarden.net/media/upload/thumb/2/21/0034Nidoking.png/140px-0034Nidoking.png,Nidoking.png,Nidoking,Poison,Ground
39,archives.bulbagarden.net/media/upload/thumb/b/b7/0035Clefairy.png/140px-0035Clefairy.png,Clefairy.png,Clefairy,Fairy,
40,archives.bulbagarden.net/media/upload/thumb/a/a4/0036Clefable.png/140px-0036Clefable.png,Clefable.png,Clefable,Fairy,
41,archives.bulbagarden.net/media/upload/thumb/0/06/0037Vulpix.png/140px-0037Vulpix.png,Vulpix.png,Vulpix,Fire,
42,archives.bulbagarden.net/media/upload/thumb/6/6b/0037Vulpix-Alola.png/140px-0037Vulpix-Alola.png,Vulpix-Alola.png,Vulpix-Alola,Ice,
43,archives.bulbagarden.net/media/upload/thumb/3/3e/0038Ninetales.png/140px-0038Ninetales.png,Ninetales.png,Ninetales,Fire,
44,archives.bulbagarden.net/media/upload/thumb/7/7f/0038Ninetales-Alola.png/140px-0038Ninetales-Alola.png,Ninetales-Alola.png,Ninetales-Alola,Ice,Fairy
45,archives.bulbagarden.net/media/upload/thumb/3/3a/0039Jigglypuff.png/140px-0039Jigglypuff.png,Jigglypuff.png,Jigglypuff,Normal,Fairy
46,archives.bulbagarden.net/media/upload/thumb/e/e2/0040Wigglytuff.png/140px-0040Wigglytuff.png,Wigglytuff.png,Wigglytuff,Normal,Fairy
47,archives.bulbagarden.net/media/upload/thumb/4/4c/0041Zubat.png/140px-0041Zubat.png,Zubat.png,Zubat,Poison,Flying
48,archives.bulbagarden.net/media/upload/thumb/7/76/0042Golbat.png/140px-0042Golbat.png,Golbat.png,Golbat,Poison,Flying
49,archives.bulbagarden.net/media/upload/thumb/1/16/0043Oddish.png/140px-0043Oddish.png,Oddish.png,Oddish,Grass,Poison
50,archives.bulbagarden.net/media/upload/thumb/e/e0/0044Gloom.png/140px-0044Gloom.png,Gloom.png,Gloom,Grass,Poison
51,archives.bulbagarden.net/media/upload/thumb/8/89/0045Vileplume.png/140px-0045Vileplume.png,Vileplume.png,Vileplume,Grass,Poison
52,archives.bulbagarden.net/media/upload/thumb/8/8a/0046Paras.png/140px-0046Paras.png,Paras.png,Paras,Bug,Grass
53,archives.bulbagarden.net/media/upload/thumb/7/7b/0047Parasect.png/140px-0047Parasect.png,Parasect.png,Parasect,Bug,Grass
54,archives.bulbagarden.net/media/upload/thumb/2/2c/0048Venonat.png/140px-0048Venonat.png,Venonat.png,Venonat,Bug,Poison
55,archives.bulbagarden.net/media/upload/thumb/0/0e/0049Venomoth.png/140px-0049Venomoth.png,Venomoth.png,Venomoth,Bug,Poison
56,archives.bulbagarden.net/media/upload/thumb/a/a6/0050Diglett.png/140px-0050Diglett.png,Diglett.png,Diglett,Ground,
57,archives.bulbagarden.net/media/upload/thumb/6/61/0050Diglett-Alola.png/140px-0050Diglett-Alola.png,Diglett-Alola.png,Diglett-Alola,Ground,Steel
58,archives.bulbagarden.net/media/upload/thumb/8/88/0051Dugtrio.png/140px-0051Dugtrio.png,Dugtrio.png,Dugtrio,Ground,
59,archives.bulbagarden.net/media/upload/thumb/9/91/0051Dugtrio-Alola.png/140px-0051Dugtrio-Alola.png,Dugtrio-Alola.png,Dugtrio-Alola,Ground,Steel
60,archives.bulbagarden.net/media/upload/thumb/d/d6/0052Meowth.png/140px-0052Meowth.png,Meowth.png,Meowth,Normal,
61,archives.bulbagarden.net/media/upload/thumb/3/32/0052Meowth-Alola.png/140px-0052Meowth-Alola.png,Meowth-Alola.png,Meowth-Alola,Dark,
62,archives.bulbagarden.net/media/upload/thumb/3/3d/0052Meowth-Galar.png/140px-0052Meowth-Galar.png,Meowth-Galar.png,Meowth-Galar,Steel,
63,archives.bulbagarden.net/media/upload/thumb/b/b0/0053Persian.png/140px-0053Persian.png,Persian.png,Persian,Normal,
64,archives.bulbagarden.net/media/upload/thumb/8/8c/0053Persian-Alola.png/140px-0053Persian-Alola.png,Persian-Alola.png,Persian-Alola,Dark,
65,archives.bulbagarden.net/media/upload/thumb/3/3f/0054Psyduck.png/140px-0054Psyduck.png,Psyduck.png,Psyduck,Water,
66,archives.bulbagarden.net/media/upload/thumb/e/ed/0055Golduck.png/140px-0055Golduck.png,Golduck.png,Golduck,Water,
67,archives.bulbagarden.net/media/upload/thumb/f/fa/0056Mankey.png/140px-0056Mankey.png,Mankey.png,Mankey,Fighting,
68,archives.bulbagarden.net/media/upload/thumb/2/2c/0057Primeape.png/140px-0057Primeape.png,Primeape.png,Primeape,Fighting,
69,archives.bulbagarden.net/media/upload/thumb/6/6a/0058Growlithe.png/140px-0058Growlithe.png,Growlithe.png,Growlithe,Fire,
70,archives.bulbagarden.net/media/upload/thumb/3/3b/0058Growlithe-Hisui.png/140px-0058Growlithe-Hisui.png,Growlithe-Hisui.png,Growlithe-Hisui,Fire,Rock
71,archives.bulbagarden.net/media/upload/thumb/4/42/0059Arcanine.png/140px-0059Arcanine.png,Arcanine.png,Arcanine,Fire,
72,archives.bulbagarden.net/media/upload/thumb/7/79/0059Arcanine-Hisui.png/140px-0059Arcanine-Hisui.png,Arcanine-Hisui.png,Arcanine-Hisui,Fire,Rock
73,archives.bulbagarden.net/media/upload/thumb/e/e4/0060Poliwag.png/140px-0060Poliwag.png,Poliwag.png,Poliwag,Water,
74,archives.bulbagarden.net/media/upload/thumb/f/fd/0061Poliwhirl.png/140px-0061Poliwhirl.png,Poliwhirl.png,Poliwhirl,Water,
75,archives.bulbagarden.net/media/upload/thumb/8/80/0062Poliwrath.png/140px-0062Poliwrath.png,Poliwrath.png,Poliwrath,Water,Fighting
76,archives.bulbagarden.net/media/upload/thumb/b/bd/0063Abra.png/140px-0063Abra.png,Abra.png,Abra,Psychic,
77,archives.bulbagarden.net/media/upload/thumb/a/af/0064Kadabra.png/140px-0064Kadabra.png,Kadabra.png,Kadabra,Psychic,
78,archives.bulbagarden.net/media/upload/thumb/b/bb/0065Alakazam.png/140px-0065Alakazam.png,Alakazam.png,Alakazam,Psychic,
79,archives.bulbagarden.net/media/upload/thumb/0/02/0066Machop.png/140px-0066Machop.png,Machop.png,Machop,Fighting,
80,archives.bulbagarden.net/media/upload/thumb/2/22/0067Machoke.png/140px-0067Machoke.png,Machoke.png,Machoke,Fighting,
81,archives.bulbagarden.net/media/upload/thumb/8/82/0068Machamp.png/140px-0068Machamp.png,Machamp.png,Machamp,Fighting,
82,archives.bulbagarden.net/media/upload/thumb/6/66/0069Bellsprout.png/140px-0069Bellsprout.png,Bellsprout.png,Bellsprout,Grass,Poison
83,archives.bulbagarden.net/media/upload/thumb/c/c1/0070Weepinbell.png/140px-0070Weepinbell.png,Weepinbell.png,Weepinbell,Grass,Poison
84,archives.bulbagarden.net/media/upload/thumb/e/e9/0071Victreebel.png/140px-0071Victreebel.png,Victreebel.png,Victreebel,Grass,Poison
85,archives.bulbagarden.net/media/upload/thumb/6/6e/0072Tentacool.png/140px-0072Tentacool.png,Tentacool.png,Tentacool,Water,Poison
86,archives.bulbagarden.net/media/upload/thumb/c/cb/0073Tentacruel.png/140px-0073Tentacruel.png,Tentacruel.png,Tentacruel,Water,Poison
87,archives.bulbagarden.net/media/upload/thumb/9/97/0074Geodude.png/140px-0074Geodude.png,Geodude.png,Geodude,Rock,Ground
88,archives.bulbagarden.net/media/upload/thumb/a/a4/0074Geodude-Alola.png/140px-0074Geodude-Alola.png,Geodude-Alola.png,Geodude-Alola,Rock,Electric
